time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points
2018-10-01,6662.6,6510.54,6623.82,38926.98,256959931.63,6594.98,95260907.05,335325216.29,430586123.34,449320817.89,682098960.42,1131419778.31,907876153.35,1436432568.57,2344308721.92,418168720,440589134,335798,682978,242820,345650808,8302,3.39172187239581,543992,56450698.5486084,7152633351906.41,544.197452229299,857105,17299883.5449792,78696,30236,58040,2993935
2018-10-02,6618.95,6478.04,6594.98,40624.2,267166277.79,6525.47,97229459.19,312296256.44,409525715.63,444352062.96,691944773.81,1136296836.77,885218135.53,1448562137.74,2333780273.28,418536221,440929945,340811,686740,244772,345895580,8967,5.1195402766968,544129,49049230.2144132,7152633351906.41,626.316176470588,1015335,17301596.0449792,78704,30242,58050,2994415
2018-10-03,6537.07,6428.98,6525.46,47186.0,306385346.59,6492.26,93109295.71,350168549.41,443277842.92,451026357.67,784264385.68,1235290741.15,908018975.68,1642105320.73,2550124296.41,418843881,441344395,414450,703346,242303,346137883,8492,3.2652011440692,544274,51557387.8353329,7152633351906.41,595.847222222222,838225,17303408.5449792,78727,30252,58061,2995170
2018-10-04,6622.32,6486.86,6492.61,42142.96,277614018.45,6579.79,93933827.9,281569977.96,375503805.86,421567603.47,657757304.36,1079324907.83,872494626.26,1380069470.36,2252564096.62,419149616,441708556,364161,652955,243157,346381040,8326,3.47087063965051,544424,54702265.5115077,7364268059356.19,578.208053691275,798640,17305283.5449792,78748,30259,58070,2995780
2018-10-05,6683.55,6546.98,6580.0,39731.28,262562344.98,6632.87,107541196.2,310931801.86,418472998.07,427309538.45,670395750.62,1097705289.07,888397799.5,1398662130.56,2287059930.06,419456651,442058221,349665,697142,244719,346625759,8071,3.02078887348747,544554,48590450.0120284,7454968648263.24,658.953488372093,963110,17306908.5449792,78761,30272,58080,2996485
2018-10-06,6637.08,6563.25,6632.88,24787.61,162722103.98,6589.94,92514114.37,216857185.28,309371299.65,420175326.55,586733897.59,1006909224.14,847026846.87,1223945594.23,2070972441.1,419756368,442371320,313099,597479,214843,346840602,5811,2.86072066281056,544679,46334266.5988341,7454968648263.24,691.040322580645,922101,17308471.0449792,78764,30283,58091,2997065
2018-10-07,6622.49,6535.02,6589.94,27272.67,179378859.39,6601.15,98276282.83,201120373.35,299396656.17,420594257.8,576550684.15,997144941.95,837281140.6,1201495319.65,2038776460.25,420099108,442695080,323760,607630,219731,347060333,4816,2.27845574619744,544821,53328813.4674797,7454968648263.24,600.404255319149,831893,17310246.0449785,78768,30291,58100,2997530
2018-10-08,6698.31,6565.01,6601.46,47216.82,313507433.75,6650.07,106525083.61,332096889.15,438621972.76,404713464.27,685825521.12,1090538985.38,825264683.68,1427362576.5,2252627257.88,420438254,443030067,334987,656648,248041,347308374,7787,3.34592755484154,544956,49925242.7414498,7454968648263.24,641.335820895522,965177,17311933.5449785,78774,30308,58111,2998290
2018-10-09,6657.0,6589.39,6650.07,32204.25,213976678.23,6631.79,102125836.28,263852365.96,365978202.24,392424112.66,614960290.76,1007384403.42,824682019.66,1283058652.52,2107740672.18,420740959,443350762,320695,632009,235862,347544236,7832,3.18077806491881,545086,49012509.3834619,7454968648263.24,653.279069767441,966413,17313558.5449785,78782,30319,58114,2998720
2018-10-10,6633.22,6487.86,6631.79,49264.39,323664963.18,6581.07,104980380.52,263169884.28,368150264.8,56196450736.2,631546216.11,56827996954.56,56611339078.82,1314861761.78,57926200840.6,421040204,443686306,335544,653131,244945,347789181,8370,4.25046528751381,545230,53515685.9065245,7454968648263.24,598.307692307692,896905,17315358.5449785,78811,30330,58120,2999435
