time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points,actadd7,actadd14,actadd21,actadd28,volumefrom7,volumefrom14,volumeto7,volumeto14,large_transaction_count7,difficulty7,difficulty14,difficulty28,average_transaction_value28,closesma3,closesma5,closesma7,closesma14,closesma21,closesma28,closesma60,close_shift,block_time7,block_time14,block_time28,block_time60,block_time100,block_size7,block_size14,block_size28,block_size60,block_size100,comments3,comments5,comments7
2018-10-02,6618.950000,6478.040000,6594.980000,40624.200000,267166277.790000,6525.470000,757295084.280000,664428836.790000,1421723921.070000,1475675919.740000,1216514790.540000,2692190710.280000,2975590110.510000,4089052264.380000,7064642374.890000,418536221.000000,440929945.000000,340811.000000,686740.000000,244772.000000,345895580.000000,8967.000000,5.119540,544129.000000,49049230.214413,7152633351906.410156,626.316176,1015335.000000,17301596.044979,192579,79761,59278,5401765,684859.000000,684859.000000,684859.000000,684859.000000,39775.590000,39775.590000,262063104.710000,262063104.710000,8634.500000,7152633351906.410156,7152633351906.410156,7152633351906.410156,4.255631,6560.225000,6560.225000,6560.225000,6560.225000,6560.225000,6560.225000,6560.225000,6594.980000,626.316176,626.316176,626.316176,626.316176,626.316176,1015335.000000,1015335.000000,1015335.000000,1015335.000000,1015335.000000,192579.000000,192579.000000,192579.000000
2018-10-03,6537.070000,6428.980000,6525.460000,47186.000000,306385346.590000,6492.260000,685280830.830000,765142575.550000,1450423471.310000,1367213148.730000,1298951254.790000,2666164403.520000,2766225062.320000,4533440113.230000,7299665175.550000,418843881.000000,441344395.000000,414450.000000,703346.000000,242303.000000,346137883.000000,8492.000000,3.265201,544274.000000,51557387.835333,7152633351906.410156,595.847222,838225.000000,17303408.544979,192825,79873,59298,5407525,691021.333333,691021.333333,691021.333333,691021.333333,42245.726667,42245.726667,276837185.336667,276837185.336667,8587.000000,7152633351906.410156,7152633351906.410156,7152633351906.410156,3.925488,6537.570000,6537.570000,6537.570000,6537.570000,6537.570000,6537.570000,6537.570000,6525.470000,611.081699,611.081699,611.081699,611.081699,611.081699,926780.000000,926780.000000,926780.000000,926780.000000,926780.000000,192702.000000,192702.000000,192702.000000
2018-10-04,6622.320000,6486.860000,6492.610000,42142.960000,277614018.450000,6579.790000,667726629.900000,633231751.830000,1300958381.730000,1441810696.100000,1165861870.250000,2607672566.350000,2930037994.360000,4523173135.400000,7453211129.770000,419149616.000000,441708556.000000,364161.000000,652955.000000,243157.000000,346381040.000000,8326.000000,3.470871,544424.000000,54702265.511508,7364268059356.190430,578.208054,798640.000000,17305283.544979,193222,79976,59311,5414395,681504.750000,681504.750000,681504.750000,681504.750000,42220.035000,42220.035000,277031393.615000,277031393.615000,8521.750000,7205542028768.855469,7205542028768.855469,7205542028768.855469,3.811833,6532.506667,6548.125000,6548.125000,6548.125000,6548.125000,6548.125000,6548.125000,6492.260000,600.123817,600.123817,600.123817,600.123817,600.123817,884066.666667,884066.666667,884066.666667,884066.666667,884066.666667,192875.333333,192875.333333,192875.333333
2018-10-05,6683.550000,6546.980000,6580.000000,39731.280000,262562344.980000,6632.870000,678517329.770000,571768516.940000,1250285846.710000,1377067850.460000,1129693040.280000,2506760890.740000,2817718724.390000,3728815053.890000,6546533778.270000,419456651.000000,442058221.000000,349665.000000,697142.000000,244719.000000,346625759.000000,8071.000000,3.020789,544554.000000,48590450.012028,7454968648263.240234,658.953488,963110.000000,17306908.544979,193491,80067,59325,5419710,684632.200000,684632.200000,684632.200000,684632.200000,41722.284000,41722.284000,274137583.888000,274137583.888000,8431.600000,7255427352667.732422,7255427352667.732422,7255427352667.732422,3.653625,6568.306667,6565.074000,6565.074000,6565.074000,6565.074000,6565.074000,6565.074000,6579.790000,614.831235,614.831235,614.831235,614.831235,614.831235,903827.500000,903827.500000,903827.500000,903827.500000,903827.500000,193179.333333,193029.250000,193029.250000
2018-10-06,6637.080000,6563.250000,6632.880000,24787.610000,162722103.980000,6589.940000,608385171.880000,392637192.120000,1001022364.000000,1267280256.880000,898665702.540000,2165945959.420000,2571032273.100000,2854815320.610000,5425847527.810000,419756368.000000,442371320.000000,313099.000000,597479.000000,214843.000000,346840602.000000,5811.000000,2.860721,544679.000000,46334266.598834,7454968648263.240234,691.040323,922101.000000,17308471.044979,193785,80130,59346,5424750,670106.666667,670106.666667,670106.666667,670106.666667,38899.838333,38899.838333,255568337.236667,255568337.236667,7994.833333,7288684235266.983398,7288684235266.983398,7288684235266.983398,3.521474,6600.866667,6564.066000,6569.218333,6569.218333,6569.218333,6569.218333,6569.218333,6632.870000,630.073053,630.073053,630.073053,630.073053,630.073053,907482.200000,907482.200000,907482.200000,907482.200000,907482.200000,193499.333333,193180.400000,193180.400000
2018-10-07,6622.490000,6535.020000,6589.940000,27272.670000,179378859.390000,6601.150000,607817455.140000,439091202.990000,1046908658.120000,1301741499.080000,939754368.550000,2241495801.620000,2644251502.530000,2841861548.580000,5486113051.110000,420099108.000000,442695080.000000,323760.000000,607630.000000,219731.000000,347060333.000000,4816.000000,2.278456,544821.000000,53328813.467480,7454968648263.240234,600.404255,831893.000000,17310246.044978,193962,80172,59363,5427995,661181.428571,661181.428571,661181.428571,661181.428571,37238.814286,37238.814286,244684126.115714,244684126.115714,7540.714286,7312439151409.305664,7312439151409.305664,7312439151409.305664,3.343900,6607.986667,6579.202000,6573.780000,6573.780000,6573.780000,6573.780000,6573.780000,6589.940000,625.128253,625.128253,625.128253,625.128253,625.128253,894884.000000,894884.000000,894884.000000,894884.000000,894884.000000,193746.000000,193457.000000,193310.666667
2018-10-08,6698.310000,6565.010000,6601.460000,47216.820000,313507433.750000,6650.070000,708942482.970000,838576221.030000,1547518704.000000,1470714452.040000,1545176416.340000,3015890868.390000,3034362834.330000,4645057003.820000,7679419904.650000,420438254.000000,443030067.000000,334987.000000,656648.000000,248041.000000,347308374.000000,7787.000000,3.345928,544956.000000,49925242.741450,7454968648263.240234,641.335821,965177.000000,17311933.544978,194292,80275,59381,5434320,657420.000000,660614.750000,660614.750000,660614.750000,38423.077143,38486.065000,252762340.704286,253287039.570000,7467.142857,7355629908031.710938,7330255338516.047852,7330255338516.047852,3.344153,6613.720000,6610.764000,6581.650000,6583.316250,6583.316250,6583.316250,6583.316250,6601.150000,627.443620,627.443620,627.443620,627.443620,627.443620,904925.857143,904925.857143,904925.857143,904925.857143,904925.857143,194013.000000,193750.400000,193450.857143
2018-10-09,6657.000000,6589.390000,6650.070000,32204.250000,213976678.230000,6631.790000,671639771.360000,684929149.030000,1356568920.390000,1391086856.800000,1201609321.530000,2592696178.330000,2859400775.510000,3555824209.280000,6415224984.790000,420740959.000000,443350762.000000,320695.000000,632009.000000,235862.000000,347544236.000000,7832.000000,3.180778,545086.000000,49012509.383462,7454968648263.240234,653.279070,966413.000000,17313558.544978,194572,80364,59397,5439745,649601.285714,657436.333333,657436.333333,657436.333333,37220.227143,37788.085556,245163826.481429,248919221.643333,7305.000000,7398820664654.115234,7344112372932.402344,7344112372932.402344,3.326001,6627.670000,6621.164000,6596.838571,6588.702222,6588.702222,6588.702222,6588.702222,6650.070000,631.295462,630.673051,630.673051,630.673051,630.673051,897937.000000,912611.750000,912611.750000,912611.750000,912611.750000,194275.333333,194020.400000,193735.571429
2018-10-10,6633.220000,6487.860000,6631.790000,49264.390000,323664963.180000,6581.070000,727552095.910000,825263479.760000,1552815575.670000,1500399656.490000,1431373906.370000,2931773562.860000,3054194956.050000,4778807192.320000,7833002214.180000,421040204.000000,443686306.000000,335544.000000,653131.000000,244945.000000,347789181.000000,8370.000000,4.250465,545230.000000,53515685.906525,7454968648263.240234,598.307692,896905.000000,17315358.544978,194839,80445,59420,5445015,642427.714286,657005.800000,657005.800000,657005.800000,37517.140000,38935.716000,247632343.137143,256393795.797000,7287.571429,7442011421276.517578,7355198000465.486328,7355198000465.486328,3.418447,6620.976667,6610.804000,6609.525714,6587.939000,6587.939000,6587.939000,6587.939000,6631.790000,631.646958,627.076900,627.076900,627.076900,627.076900,906319.857143,910866.555556,910866.555556,910866.555556,910866.555556,194567.666667,194290.000000,194023.285714
2018-10-11,6581.590000,6171.950000,6581.070000,104258.490000,654924117.800000,6209.470000,1044912100.890000,1443875453.880000,2488787616.870000,1817744537.840000,2344576960.650000,4162321436.400000,3942752155.500000,7991912210.620000,11934664366.120001,421382018.000000,444032743.000000,346437.000000,699363.000000,262467.000000,348051648.000000,9580.000000,4.043493,545389.000000,58858858.568782,7454968648263.240234,543.993671,920825.000000,17317346.044978,195424,80606,59430,5455140,649057.428571,660856.454545,660856.454545,660856.454545,46390.787143,44874.150000,301533785.901429,292623825.070000,7466.714286,7454968648263.240234,7364268059356.191406,7364268059356.191406,3.475269,6474.110000,6534.710000,6556.622857,6553.532727,6553.532727,6553.532727,6553.532727,6581.070000,626.759189,618.768577,618.768577,618.768577,618.768577,923774.857143,911862.400000,911862.400000,911862.400000,911862.400000,194945.000000,194617.800000,194337.857143
