time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points,actadd7,actadd14,actadd21,actadd28,volumefrom7,volumefrom14,volumeto7,volumeto14,large_transaction_count7,difficulty7,difficulty14,difficulty28,average_transaction_value28,closesma3,closesma5,closesma7,closesma14,closesma21,closesma28,closesma60,close_shift,block_time7,block_time14,block_time28,block_time60,block_time100,block_size7,block_size14,block_size28,block_size60,block_size100,comments3,comments5,comments7
2018-10-02,228.910000,224.930000,230.960000,1125858.590000,253977370.590000,225.590000,97229459.190000,312296256.440000,409525715.630000,444352062.960000,691944773.810000,1136296836.770000,885218135.530000,1448562137.740000,2333780273.280000,37766832.000000,65129650.000000,49397.000000,237818.000000,476122.000000,309170677.000000,385.000000,2.529532,6442547.000000,229.717982,3211925078735580.000000,13.982036,24106.000000,102329944.030730,192579,79761,59278,5401765,236502.500000,236502.500000,236502.500000,236502.500000,1028262.690000,1028262.690000,234460317.750000,234460317.750000,385.000000,3226288840079185.000000,3226288840079185.000000,3226288840079185.000000,2.765766,228.275000,228.275000,228.275000,228.275000,228.275000,228.275000,228.275000,230.960000,13.982036,13.982036,13.982036,13.982036,13.982036,24106.000000,24106.000000,24106.000000,24106.000000,24106.000000,192579.000000,192579.000000,192579.000000
2018-10-03,224.570000,218.140000,225.590000,1245772.000000,274098108.310000,220.020000,93109295.710000,350168549.410000,443277842.920000,451026357.670000,784264385.680000,1235290741.150000,908018975.680000,1642105320.730000,2550124296.410000,37800114.000000,65193654.000000,64004.000000,288661.000000,539327.000000,309710004.000000,371.000000,3.286889,6448622.000000,226.830905,3226085186423430.000000,14.222423,21422.000000,102350237.249479,192825,79873,59298,5407525,253888.666667,253888.666667,253888.666667,253888.666667,1100765.793333,1100765.793333,247672914.603333,247672914.603333,380.333333,3226220955527266.500000,3226220955527266.500000,3226220955527266.500000,2.939473,225.523333,225.523333,225.523333,225.523333,225.523333,225.523333,225.523333,225.590000,14.102230,14.102230,14.102230,14.102230,14.102230,22764.000000,22764.000000,22764.000000,22764.000000,22764.000000,192702.000000,192702.000000,192702.000000
2018-10-04,225.420000,221.020000,220.030000,1264062.510000,280874068.180000,222.200000,93933827.900000,281569977.960000,375503805.860000,421567603.470000,657757304.360000,1079324907.830000,872494626.260000,1380069470.360000,2252564096.620000,37833974.000000,65255564.000000,61910.000000,294708.000000,544751.000000,310254755.000000,371.000000,3.193961,6454768.000000,232.008832,3261753458926590.000000,14.058747,22654.000000,102370609.124479,193222,79976,59311,5414395,264093.500000,264093.500000,264093.500000,264093.500000,1141589.972500,1141589.972500,255973202.997500,255973202.997500,378.000000,3235104081377097.500000,3235104081377097.500000,3235104081377097.500000,3.003095,222.603333,224.692500,224.692500,224.692500,224.692500,224.692500,224.692500,220.020000,14.087735,14.087735,14.087735,14.087735,14.087735,22727.333333,22727.333333,22727.333333,22727.333333,22727.333333,192875.333333,192875.333333,192875.333333
2018-10-05,230.030000,222.530000,222.210000,1281236.190000,292340594.210000,228.170000,107541196.200000,310931801.860000,418472998.070000,427309538.450000,670395750.620000,1097705289.070000,888397799.500000,1398662130.560000,2287059930.060000,37875656.000000,65325426.000000,69862.000000,315424.000000,573529.000000,310828284.000000,438.000000,2.941259,6460867.000000,231.337375,3277001275785450.000000,14.165464,20849.000000,102390786.186980,193491,80067,59325,5419710,274359.600000,274359.600000,274359.600000,274359.600000,1169519.216000,1169519.216000,263246681.240000,263246681.240000,390.000000,3243483520258768.000000,3243483520258768.000000,3243483520258768.000000,2.990728,223.463333,225.388000,225.388000,225.388000,225.388000,225.388000,225.388000,222.200000,14.107168,14.107168,14.107168,14.107168,14.107168,22257.750000,22257.750000,22257.750000,22257.750000,22257.750000,193179.333333,193029.250000,193029.250000
2018-10-06,227.290000,223.990000,228.170000,1006198.600000,226441423.930000,225.050000,92514114.370000,216857185.280000,309371299.650000,420175326.550000,586733897.590000,1006909224.140000,847026846.870000,1223945594.230000,2070972441.100000,37938345.000000,65415356.000000,89930.000000,326443.000000,579009.000000,311407293.000000,254.000000,2.005705,6467089.000000,234.406959,3252608506128730.000000,13.875904,17609.000000,102411278.155729,193785,80130,59346,5424750,283040.166667,283040.166667,283040.166667,283040.166667,1142299.113333,1142299.113333,257112471.688333,257112471.688333,367.333333,3245004351237094.500000,3245004351237094.500000,3245004351237094.500000,2.826558,225.140000,224.206000,225.331667,225.331667,225.331667,225.331667,225.331667,228.170000,14.060915,14.060915,14.060915,14.060915,14.060915,21328.000000,21328.000000,21328.000000,21328.000000,21328.000000,193499.333333,193180.400000,193180.400000
2018-10-07,226.290000,223.910000,225.050000,1071407.410000,242163119.880000,226.020000,98276282.830000,201120373.350000,299396656.170000,420594257.800000,576550684.150000,997144941.950000,837281140.600000,1201495319.650000,2038776460.250000,37982081.000000,65485040.000000,69684.000000,266998.000000,483758.000000,311891051.000000,201.000000,2.190494,6473330.000000,236.595211,3275289114565480.000000,13.843429,15401.000000,102431799.468229,193962,80172,59363,5427995,280748.428571,280748.428571,280748.428571,280748.428571,1132171.727143,1132171.727143,254976850.001429,254976850.001429,343.571429,3249330745998292.500000,3249330745998292.500000,3249330745998292.500000,2.735691,226.413333,224.292000,225.430000,225.430000,225.430000,225.430000,225.430000,225.050000,14.024667,14.024667,14.024667,14.024667,14.024667,20340.166667,20340.166667,20340.166667,20340.166667,20340.166667,193746.000000,193457.000000,193310.666667
2018-10-08,230.490000,226.240000,226.030000,1200418.820000,275169500.710000,229.230000,106525083.610000,332096889.150000,438621972.760000,404713464.270000,685825521.120000,1090538985.380000,825264683.680000,1427362576.500000,2252627257.880000,38018290.000000,65548578.000000,63538.000000,281023.000000,528438.000000,312419489.000000,554.000000,3.330838,6479509.000000,236.896329,3311602077646800.000000,13.979119,17035.000000,102452224.405729,194292,80275,59381,5434320,287296.428571,280782.750000,280782.750000,280782.750000,1170707.731429,1140702.613750,263580597.972857,257500931.340000,367.714286,3259466385458865.000000,3257114662454356.000000,3257114662454356.000000,2.810085,226.766667,226.134000,225.182857,225.905000,225.905000,225.905000,225.905000,226.020000,14.018161,14.018161,14.018161,14.018161,14.018161,19868.000000,19868.000000,19868.000000,19868.000000,19868.000000,194013.000000,193750.400000,193450.857143
2018-10-09,229.530000,226.940000,229.230000,1188808.620000,270655286.620000,227.670000,102125836.280000,263852365.960000,365978202.240000,392424112.660000,614960290.760000,1007384403.420000,824682019.660000,1283058652.520000,2107740672.180000,38048902.000000,65607401.000000,58823.000000,278758.000000,522427.000000,312941916.000000,543.000000,2.987014,6485658.000000,234.135589,3289361288763970.000000,14.048959,18244.000000,102472577.343229,194572,80364,59397,5439745,293145.000000,280557.777778,280557.777778,280557.777778,1179700.592857,1146047.725556,265963157.405714,258962526.371111,390.285714,3270528701177207.500000,3260697620933202.000000,3260697620933202.000000,2.829744,227.640000,227.228000,225.480000,226.101111,226.101111,226.101111,226.101111,229.230000,14.027721,14.022010,14.022010,14.022010,14.022010,19030.571429,19665.000000,19665.000000,19665.000000,19665.000000,194275.333333,194020.400000,193735.571429
2018-10-10,226.520000,224.410000,227.670000,1200791.370000,270423278.340000,225.200000,104980380.520000,263169884.280000,368150264.800000,56196450736.199997,631546216.110000,56827996954.559998,56611339078.820000,1314861761.780000,57926200840.599998,38073262.000000,65654228.000000,46827.000000,259111.000000,495510.000000,313437426.000000,562.000000,3.376010,6491826.000000,235.217255,3294910495257800.000000,14.007946,16866.000000,102492939.093230,194839,80445,59420,5445015,288923.571429,278413.100000,278413.100000,278413.100000,1173274.788571,1151522.090000,265438181.695714,260108601.568000,417.571429,3280360888153545.500000,3264118908365662.000000,3264118908365662.000000,2.884370,227.366667,226.634000,226.220000,226.011000,226.011000,226.011000,226.011000,227.670000,13.997081,14.020448,14.020448,14.020448,14.020448,18379.714286,19354.000000,19354.000000,19354.000000,19354.000000,194567.666667,194290.000000,194023.285714
2018-10-11,225.260000,186.880000,225.260000,1389697.820000,280686354.910000,189.830000,137878525.330000,650405054.580000,788283579.910000,438544259.900000,1060019822.350000,1498564082.250000,893419055.580000,2184581106.260000,3078000159.940000,38099321.000000,65707975.000000,53747.000000,276590.000000,547725.000000,313985151.000000,1080.000000,6.193368,6497969.000000,228.892460,3219699284376290.000000,14.066428,18165.000000,102513424.405729,195424,80606,59430,5455140,286335.285714,278247.363636,278247.363636,278247.363636,1191222.690000,1173174.429091,265411365.514286,261979306.417273,518.857143,3274353148932074.500000,3260080760730264.500000,3260080760730264.500000,3.185188,214.233333,219.590000,221.595714,222.721818,222.721818,222.721818,222.721818,225.200000,13.998179,14.025046,14.025046,14.025046,14.025046,17738.428571,19235.100000,19235.100000,19235.100000,19235.100000,194945.000000,194617.800000,194337.857143
2018-10-12,198.150000,191.590000,190.320000,1328302.740000,259967593.220000,195.710000,96128955.230000,332170030.470000,428298985.700000,386022586.320000,700246369.900000,1086268956.220000,789828694.500000,1463881876.020000,2253710570.520000,38122367.000000,65767840.000000,59865.000000,277705.000000,541734.000000,314526885.000000,601.000000,4.146236,6504139.000000,231.175650,3237208572171560.000000,14.003242,20201.000000,102533808.468230,195787,80687,59457,5461470,280946.857143,278202.166667,278202.166667,278202.166667,1197946.482857,1186101.788333,260786651.087143,261811663.650833,542.142857,3268668476987233.000000,3258174745017039.500000,3258174745017039.500000,3.265276,203.580000,213.528000,216.958571,220.470833,220.470833,220.470833,220.470833,189.830000,13.975004,14.023063,14.023063,14.023063,14.023063,17645.857143,19322.909091,19322.909091,19322.909091,19322.909091,195350.000000,194982.800000,194665.857143
2018-10-13,200.550000,195.660000,195.750000,1080408.060000,215324446.910000,199.300000,82907494.590000,175747911.840000,258655404.430000,343145839.260000,481580316.810000,824726156.070000,700985860.250000,1024059941.410000,1725045801.660000,38161602.000000,65826686.000000,58846.000000,281708.000000,523850.000000,315050735.000000,287.000000,2.476731,6510315.000000,228.530775,3196433112526610.000000,13.986883,17319.000000,102554245.593229,195961,80740,59473,5464935,274556.142857,278471.846154,278471.846154,278471.846154,1208547.834286,1177971.501538,259198511.512857,258235723.901538,546.857143,3260643420758359.000000,3253425388671621.500000,3253425388671621.500000,3.204618,194.946667,207.542000,213.280000,218.842308,218.842308,218.842308,218.842308,195.710000,13.990858,14.020048,14.020048,14.020048,14.020048,17604.428571,19155.916667,19155.916667,19155.916667,19155.916667,195724.000000,195316.600000,194976.714286
